#{"t_start": 1765431048.1975052, "env_id": "group5-env-v0"}
r,l,t
-0.815377,3,132.265696
-0.327577,4,132.409354
0.714163,6,132.654961
-1.356526,1,132.703515
1.814895,7,132.990839
1.553416,6,133.212101
0.191742,4,133.342221
-0.273608,4,133.501539
9.806339,20,134.128423
-1.208967,1,134.170076
4.595672,10,134.62809
0.164048,6,134.848357
11.042908,19,135.513401
0.458202,4,135.659177
1.58923,11,136.043516
0.337964,4,136.210491
2.219045,7,136.546264
-0.848201,2,136.625139
8.947363,21,137.323818
-0.094171,3,137.437334
-0.189249,3,137.546437
1.618113,8,137.859373
3.324915,9,138.230014
0.547923,6,138.439212
0.710473,6,138.633926
0.459859,5,138.805398
0.369067,4,138.959527
-0.270673,5,139.148471
-0.792368,2,139.211032
2.736931,8,139.477744
0.017912,3,139.609288
0.21756,4,139.783091
9.171169,17,140.455985
-0.479384,3,140.564595
1.392985,6,140.800477
2.29599,9,141.080548
-0.061938,5,141.302306
-0.26646,5,141.517004
0.793405,6,141.80662
3.020808,9,142.110401
0.055907,4,142.266585
1.407247,6,142.498457
-0.074956,5,142.685653
0.190714,4,142.833285
-0.587253,3,142.964686
-0.49942,3,143.1076
-0.327066,3,143.247803
-1.026511,4,143.417296
0.882471,6,143.675747
0.849375,5,143.862472
0.613962,5,144.059401
1.076103,5,144.229788
-0.197998,3,144.334405
0.339842,6,144.56114
0.595004,5,144.803324
-1.04869,1,144.858074
2.260771,9,145.232806
-0.110332,4,145.410423
7.280485,14,145.996629
1.625675,7,146.284427
9.343873,23,147.20468
-0.84799,2,147.272248
-1.210947,1,147.306803
-1.217051,1,147.349844
2.156847,7,147.615239
-0.861181,2,147.687038
-0.663976,3,147.78293
0.988254,5,147.972409
2.586835,8,148.296351
10.128879,17,148.890582
0.52367,7,149.135214
0.309501,4,149.276951
-1.166587,2,149.353028
-0.998394,2,149.436318
-0.385782,3,149.543564
0.735903,5,149.699974
0.736872,5,149.920475
3.766159,10,150.358002
1.784985,10,150.748953
9.959818,23,151.569044
-0.697985,2,151.656254
1.940505,7,151.926803
4.064503,10,152.28673
0.680163,5,152.473067
-1.021066,2,152.544776
0.185856,5,152.745301
0.08888,5,152.926437
9.50587,22,153.704421
5.893871,15,154.35125
1.674595,8,154.639764
9.75899,21,155.352853
0.463868,5,155.558951
9.61047,21,156.301235
3.898257,11,156.695264
-0.061501,4,156.847177
-0.273904,5,157.058597
1.194761,7,157.336714
9.727375,23,158.069656
-1.161664,2,158.138724
-0.785536,2,158.2128
-0.338247,3,158.318419
2.464455,9,158.668244
0.137891,4,158.858643
6.681776,20,159.522894
-0.783665,4,159.679549
-1.193479,1,159.741712
0.756798,7,159.977093
2.859994,11,160.441002
-0.759807,2,160.541126
0.187223,4,160.721872
1.538735,9,161.079693
0.956708,5,161.287143
10.62781,22,162.028212
1.518184,7,162.315683
2.469457,10,162.683974
2.146999,9,163.03824
-1.049094,1,163.074765
-0.443009,4,163.226223
-0.493984,4,163.376364
-0.692424,2,163.455938
-0.232995,5,163.663146
0.341587,4,163.813944
0.098541,3,163.925088
-0.700454,2,164.015681
-0.110607,4,164.198372
5.996784,19,164.815139
-0.4656,4,164.9638
9.949233,21,174.034337
-0.431492,4,174.203763
0.547285,6,174.436025
0.885072,5,174.619228
0.452507,5,174.806433
0.975855,5,175.006405
-1.137067,1,175.039443
-0.888201,2,175.112046
-0.024502,5,175.293597
2.625227,10,175.671607
-0.854279,2,175.757093
-0.853785,2,175.827185
-1.01861,2,175.912931
11.942103,17,176.481086
0.320743,4,176.630609
3.36979,9,176.971335
1.565279,8,177.292667
0.711922,5,177.491492
-0.050898,6,177.735255
9.339553,21,178.450201
3.387336,15,178.980328
0.67748,5,179.184643
-0.331892,3,179.305337
0.174688,5,179.519784
-0.186031,3,179.666486
11.009783,21,180.403581
-0.889983,2,180.483545
