#{"t_start": 1764560262.0136106, "env_id": "custom-highway-v0"}
r,l,t
33.49021,40,518.764956
9.837289,12,519.649407
6.902751,9,520.255288
3.254375,5,520.662118
11.295049,14,521.637644
11.305875,15,522.689608
6.570428,9,523.397687
1.890979,3,523.664234
9.938293,13,524.58916
3.04062,4,524.868071
6.631002,9,525.4777
4.320492,6,525.896768
1.151267,2,526.066262
9.156563,12,526.861784
3.665422,5,527.196224
33.738692,40,530.029558
9.062953,12,530.832565
10.175884,13,531.792054
9.78762,13,532.707827
9.902348,13,533.566495
32.829025,40,536.670617
9.454893,12,537.491776
9.866019,12,538.355923
2.431282,4,538.635412
9.662043,12,539.4116
12.895611,16,540.587378
11.511515,15,541.631086
10.171498,13,542.630606
33.917972,40,545.424428
10.179711,13,546.365538
10.829979,14,547.420229
3.856985,5,547.815881
10.679169,14,548.821248
5.883696,7,549.269573
1.832904,3,549.4557
8.134527,10,550.221288
8.223744,11,551.003193
7.405473,10,551.664211
10.777054,14,552.942516
3.689807,5,553.224306
1.707419,3,553.432024
6.76373,9,554.065065
11.039663,15,555.248626
12.928178,16,556.381673
9.482089,12,557.284059
9.054163,12,558.139987
11.948987,16,559.459001
8.499949,10,560.133826
7.2842,9,560.889409
8.688581,11,561.667959
1.081954,2,561.788579
6.661975,9,562.42219
10.04657,13,563.39808
11.197846,14,564.317811
2.774581,4,564.60734
10.702304,14,565.593945
7.016399,9,566.195774
11.151249,15,567.343031
8.411792,11,568.086847
4.686918,6,568.499155
8.317278,10,569.280302
10.370127,13,570.203677
8.867479,11,571.142682
8.167279,11,571.908253
1.892311,3,572.128731
10.707864,14,573.290535
11.440354,15,574.315113
21.216434,25,576.237881
5.839006,8,576.797826
29.827919,40,579.656476
9.978555,13,580.54014
6.733313,9,581.166879
9.09355,12,582.015205
10.123469,13,582.958543
9.269567,12,583.861299
11.084081,14,584.851116
9.499554,12,585.651963
1.784135,3,585.881232
31.97888,40,588.685234
10.69159,14,589.668722
4.271531,6,590.114061
11.622378,15,591.05473
6.576284,9,591.710472
6.736843,8,592.230677
8.156153,10,592.997813
4.02718,6,593.437998
10.567086,14,594.434063
6.539959,8,594.990472
6.729507,9,595.742994
6.786821,9,596.319711
10.516404,13,597.183329
4.804587,6,597.605065
31.725963,40,600.760566
33.116907,40,603.607545
8.126158,10,604.366427
11.753792,15,605.41911
3.18072,4,605.717747
9.217642,12,606.609223
12.280266,15,607.727139
33.268116,40,610.420529
2.79764,4,610.726861
6.455429,9,611.345961
9.52802,12,612.329157
1.643191,3,612.513231
2.921461,4,612.793012
11.223549,14,613.853088
9.933514,13,614.847652
5.020996,6,615.250757
31.43998,40,618.01721
2.688326,4,618.342774
10.637152,14,619.265919
7.128613,9,619.897656
10.982048,13,620.815037
11.249281,15,621.79196
11.681141,14,632.687544
9.770777,12,633.530065
2.729822,4,633.885587
1.821782,3,634.11482
10.506971,14,634.998312
10.480122,13,636.000511
7.527454,10,636.708605
10.439669,13,637.68808
8.969246,12,638.552889
11.101702,14,639.464479
9.984103,13,640.338647
8.235017,11,641.061015
10.452642,13,641.962297
32.127027,40,644.676105
10.650048,14,645.647939
10.648377,13,646.656905
22.397551,28,648.60531
1.070639,2,648.74712
5.075279,7,649.209551
4.893414,7,649.667242
2.548456,4,649.945726
6.353475,8,650.561319
11.458756,15,651.479914
34.472115,40,654.292118
9.104156,11,655.105718
24.825454,31,657.457089
7.75259,10,658.200963
3.49589,5,658.627005
6.02399,8,659.148499
2.439109,4,659.411588
9.486781,12,660.317772
8.616179,11,661.062571
7.233901,9,661.720728
10.518609,14,662.752052
33.971725,40,665.719037
9.935051,13,666.665022
33.859345,40,669.750541
10.574918,14,670.816578
10.822821,14,671.927972
9.157405,12,672.917833
1.127751,2,673.071083
8.016554,10,673.745386
10.738904,14,674.948515
2.510517,4,675.269909
11.33798,15,676.381078
3.572813,5,676.802712
5.793088,8,677.397051
11.069331,14,678.344794
11.397637,15,679.476424
4.585248,6,679.863344
11.222427,15,681.030634
10.481537,13,681.8573
8.663454,11,682.628176
11.824175,15,683.694611
8.322939,11,684.444431
5.881185,8,685.022254
9.760911,13,685.931289
3.982555,6,686.317101
3.685461,5,686.756105
2.654237,4,687.033994
4.545987,6,687.536207
9.654669,12,688.316304
3.002448,4,688.567128
10.882718,14,689.619575
31.050361,40,692.478274
8.707512,11,693.285822
6.597297,8,693.825745
13.705843,16,694.920949
9.773863,13,695.851002
13.12129,16,697.01342
11.654779,15,698.213219
31.661228,40,701.006525
6.516991,9,701.627221
5.061948,7,702.074331
11.956428,15,703.11849
32.581253,40,705.867723
10.984025,14,706.820269
32.560113,40,709.82724
34.139101,40,712.601304
11.123915,14,713.645201
12.422052,16,714.676668
10.249219,13,715.640914
9.407039,12,716.475072
9.927606,13,717.398436
6.452794,8,718.020075
10.575808,14,718.945207
11.121509,14,719.967024
9.827735,13,720.883712
5.05733,7,721.371227
9.074575,12,722.214233
32.553295,40,724.876878
5.327539,7,725.403924
8.856684,11,726.213148
11.655866,15,727.243629
32.45657,40,730.223485
12.756465,16,731.347373
33.122224,40,734.386463
11.308637,14,735.343807
10.771042,14,736.384063
33.294666,40,739.409641
32.055275,40,742.234478
32.937345,40,744.956127
10.584785,13,745.972883
11.248688,14,746.990546
10.226783,13,747.902512
10.126827,13,748.915736
5.350089,7,749.427955
10.790603,14,750.700172
10.692215,14,751.778795
2.536087,4,752.037587
11.639528,15,753.175313
1.926242,3,753.37507
9.357645,12,754.135264
9.075946,12,755.017945
33.847207,40,757.726295
8.629493,11,758.483385
6.702364,9,759.196913
7.087425,9,759.801307
3.408886,5,760.168635
1.717,3,760.39597
32.672027,40,773.889111
32.921105,40,776.566719
4.261225,6,776.987737
5.704437,8,777.578361
4.663467,6,777.971298
6.084102,8,778.474818
10.808938,14,779.527875
2.655995,4,779.821431
11.099199,15,780.904728
8.816574,12,781.758565
11.569151,15,782.830398
7.596682,10,783.58578
12.032199,15,784.578495
10.658907,14,785.535043
31.361488,40,788.459745
2.591567,4,788.711276
