#{"t_start": 1765424035.0336254, "env_id": "group5-env-v0"}
r,l,t
1.397447,6,119.81246
1.417436,7,120.030593
1.5005,6,120.186159
8.437188,18,120.657657
-0.109331,4,120.775674
9.217994,21,121.271349
1.93591,8,121.495761
-0.664006,2,121.548281
-1.087242,1,121.57428
1.279626,5,121.693387
-0.821791,2,121.745471
-0.744023,2,121.806485
10.90263,20,122.293221
-0.240759,3,122.385754
-0.635964,3,122.46882
0.896993,5,122.594409
-0.845478,2,122.650697
-0.333066,3,122.733246
0.173877,7,122.9102
1.145336,8,123.111977
0.477775,7,123.300023
1.41208,6,123.4502
-1.347898,1,123.48324
1.345906,6,123.627494
5.882197,13,123.962107
0.371574,4,124.067964
0.200196,4,124.18059
3.187279,9,124.397696
0.280127,4,124.512754
2.048904,7,124.693648
-0.703928,2,124.751554
-0.496882,3,124.829316
3.68487,10,125.082139
0.59176,4,125.180179
5.746955,13,125.49487
0.34792,7,125.701079
-0.705952,2,125.748601
-1.209428,1,125.7776
5.759623,16,126.178539
-0.80305,3,126.261077
9.775104,19,126.694095
-0.890115,2,126.755832
-0.702319,2,126.812111
0.51937,6,126.994974
-0.910848,2,127.061726
-0.20126,4,127.166267
-0.732169,2,127.221656
5.370483,12,127.536944
0.455177,5,127.680475
2.623955,10,128.007383
0.867628,5,128.16815
-1.193371,1,128.202706
-0.885332,2,128.26575
-0.796825,4,128.396331
1.281618,8,128.620684
0.870868,7,128.855385
-1.359006,1,128.890351
0.64362,4,129.007328
5.731088,18,129.466646
1.97637,10,129.765632
3.843256,14,130.162192
3.973327,10,130.499108
5.148132,17,131.000922
-0.066834,4,131.121133
-0.490804,3,131.200746
1.745615,8,131.450247
1.242122,6,131.620902
0.332521,4,131.742148
2.023035,9,132.076993
2.164858,10,132.414189
-0.640928,3,132.505717
11.683252,17,133.004649
-0.512888,2,133.059174
1.871391,11,133.397585
1.129713,6,133.560745
-0.980481,3,133.653203
3.664341,15,134.074939
-0.699223,2,134.128453
1.875889,6,134.321209
3.619512,10,134.559346
11.164616,18,135.01283
-0.733991,2,135.069648
0.07822,5,135.245522
2.329792,10,135.527133
-0.302646,4,135.633729
8.371488,16,136.073652
7.330106,16,136.496221
-0.015044,6,136.635247
2.206331,7,136.836121
0.016948,4,136.939843
0.513812,5,137.10323
-0.487529,3,137.181766
-0.363779,3,137.279843
1.972169,7,138.763834
2.674514,8,139.027886
1.977172,9,139.288399
0.784385,5,139.417714
0.656412,7,139.609003
6.925015,15,140.061049
-0.482514,4,140.193821
-0.881464,2,140.255045
-0.728136,2,140.315055
-0.700729,2,140.366582
5.697386,16,140.832362
-0.072181,5,140.99787
2.284182,9,141.256134
-0.731662,2,141.313181
-0.860873,2,141.366749
0.151176,4,141.481844
-0.85705,2,141.534506
9.695651,18,142.019721
0.519016,4,142.145866
8.255237,17,142.666847
-0.743,2,142.72636
-0.480188,3,142.812384
9.072932,23,143.434124
1.913398,10,143.68187
3.226379,13,143.996897
0.189198,7,144.203644
-0.284848,4,144.316172
-0.258949,5,144.467187
2.806095,11,144.743093
0.297502,6,144.926228
-0.145977,4,145.043285
2.342696,10,145.318506
-0.858556,2,145.378733
-0.472158,3,145.474296
2.891647,10,145.746233
0.77267,5,145.890749
-0.738332,2,145.945259
1.84623,6,146.099082
1.107808,7,146.291883
-0.490103,3,146.369784
-0.110553,4,146.461657
9.318356,21,146.976691
-0.483276,4,147.092404
-0.473505,3,147.184003
1.483601,9,147.453841
2.488618,10,147.693379
-0.850435,2,147.746598
1.60478,9,147.991484
4.414356,11,148.254343
-0.100236,4,148.348408
1.0246,8,148.587974
1.610999,11,148.90532
1.40053,8,149.107741
-0.092063,3,149.187076
1.448861,9,149.437045
-0.65176,2,149.493093
1.450653,7,149.693812
7.182878,18,150.177207
-1.360953,1,150.210207
5.872464,15,150.662526
-1.166839,1,150.695556
-0.474985,3,150.771218
-0.066397,5,150.874794
1.043123,9,151.069831
-0.293222,4,151.161433
-0.88899,2,151.212493
5.539153,12,151.493135
8.400444,19,151.957747
0.428179,5,152.094388
4.619775,11,152.3757
4.366332,11,152.628982
-1.312082,1,152.659542
-0.857462,2,152.705529
1.735003,6,152.870504
-0.312206,3,152.934681
3.066324,8,153.123641
1.031023,7,153.278288
1.062052,8,153.51257
1.634006,7,153.693411
1.736432,8,153.894473
-0.288543,3,153.964082
0.812072,5,154.101655
3.180175,9,154.3368
1.396022,9,154.566711
9.876637,23,155.108309
8.907028,22,155.718313
-0.836863,2,155.761932
9.030061,20,156.210301
5.968296,13,156.52306
4.195747,15,156.91099
7.426086,21,157.378751
-0.185781,3,157.442793
10.980409,18,157.891698
-0.298602,4,157.98325
0.124816,4,158.098849
-0.321621,3,158.168501
1.18101,5,158.31635
-0.853894,2,158.373941
3.099695,12,158.647774
0.328732,4,158.754402
6.362532,13,159.068764
0.970966,5,159.187376
1.337785,9,159.447111
0.313895,4,159.57934
3.000769,9,159.844241
0.209913,4,159.956295
2.798843,8,160.20732
-0.705206,2,160.265831
9.072723,21,160.862593
9.473491,21,161.456191
-1.060752,2,161.520192
4.856455,17,162.019837
0.637155,4,162.148629
0.350015,7,162.337705
0.813686,4,162.446236
-0.707022,2,162.500766
-0.336055,3,162.577908
6.706867,17,163.056692
1.314313,8,163.26016
1.125305,8,163.497275
-0.485346,3,163.581453
0.115604,5,163.696106
2.287782,7,163.861241
-0.72981,2,163.910241
-0.036563,6,164.046863
-0.173115,3,164.119296
-0.933848,3,164.19985
10.316867,18,164.652961
-0.339187,3,164.732414
2.151465,9,164.960041
-1.212224,1,164.984079
-0.888647,2,165.037757
6.047338,15,165.391297
1.331623,7,165.558483
0.079486,5,165.686091
2.365027,10,165.957185
-0.232179,3,166.048195
6.181181,14,166.423031
4.425575,12,166.747313
1.332559,7,166.909471
-0.230176,3,166.993055
0.260275,5,167.106683
0.442749,4,167.208285
-0.336533,3,167.278901
-0.985212,3,167.34766
0.21055,4,167.442258
0.25245,4,167.543862
3.832287,14,167.888972
-0.350341,3,167.969537
0.060175,3,168.054172
9.708845,20,168.492504
-0.352912,4,168.610013
6.020742,17,169.702774
1.824627,7,169.890277
4.852647,11,170.167064
2.69573,10,170.44525
1.851005,7,170.610202
12.228649,18,171.054723
7.777938,15,171.38458
-0.337477,3,171.455617
-0.83388,3,171.5262
3.232352,8,171.73033
2.29621,8,171.932692
2.471691,10,172.206409
3.550656,12,172.514832
0.058861,3,172.592356
5.701204,18,173.005285
-0.892416,2,173.050328
3.441046,11,173.305806
-0.124909,5,173.428647
9.601616,22,173.974852
-0.487202,3,174.049896
0.535721,4,174.167216
10.610381,18,174.578963
-1.13974,1,174.604198
2.468521,8,174.838862
11.470729,18,175.345956
1.881462,7,175.532222
-0.043634,6,175.727927
-0.578345,2,175.786944
0.252761,7,176.002034
0.516478,6,176.174101
1.337725,6,176.342695
-0.854654,2,176.397205
-0.339045,4,176.512242
3.385008,10,176.808772
1.953346,9,177.04415
9.408827,19,177.576066
-0.239524,3,177.647068
2.146634,8,177.828204
4.026223,10,178.064991
-0.197927,3,178.137561
-0.847791,2,178.181162
-0.081682,3,178.261204
9.503003,20,178.708248
2.038114,9,178.950815
-0.888271,2,179.003379
-0.732962,2,179.057463
-0.708962,2,179.112802
-0.003895,6,179.266401
10.193699,19,179.691558
6.304837,13,180.025004
-0.728387,2,180.077473
-0.705042,2,180.132001
-0.331697,3,180.212538
1.225035,6,180.394809
